x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55694e-010;300
L1;0.0240934
L2;0.00699224
T= 0.1
0;300;0;300
0.05;-229838;230083;244.735
0.1;332137;331941;195.9
0.15;-288370;288528;157.769
0.2;178640;178509;131.46
0.25;-82211.1;82326.5;115.42
0.3;28701.3;28594.5;106.779
0.35;-7287.34;7390.01;102.667
0.4;1470.36;1369.42;100.94
0.45;-66.43;166.743;100.313
0.5;121.475;21.3121;100.163
0.55;-66.43;166.743;100.313
0.6;1470.36;1369.42;100.94
0.65;-7287.34;7390.01;102.667
0.7;28701.3;28594.5;106.779
0.75;-82211.1;82326.5;115.42
0.8;178640;178509;131.46
0.85;-288370;288528;157.769
0.9;332137;331941;195.9
0.95;-229838;230083;244.735
1;300;5.68434e-014;300
L1;109421
L2;36007.6
T= 0.2
0;300;0;300
0.05;-2.40633e+010;2.40633e+010;260.518
0.1;4.05877e+010;4.05877e+010;223.416
0.15;-4.58252e+010;4.58252e+010;190.655
0.2;4.1035e+010;4.1035e+010;163.475
0.25;-3.07232e+010;3.07232e+010;142.295
0.3;1.96814e+010;1.96814e+010;126.816
0.35;-1.09237e+010;1.09237e+010;116.254
0.4;5.33323e+009;5.33323e+009;109.64
0.45;-2.47403e+009;2.47403e+009;106.082
0.5;1.62584e+009;1.62584e+009;104.968
0.55;-2.47403e+009;2.47403e+009;106.082
0.6;5.33323e+009;5.33323e+009;109.64
0.65;-1.09237e+010;1.09237e+010;116.254
0.7;1.96814e+010;1.96814e+010;126.816
0.75;-3.07232e+010;3.07232e+010;142.295
0.8;4.1035e+010;4.1035e+010;163.475
0.85;-4.58252e+010;4.58252e+010;190.655
0.9;4.05877e+010;4.05877e+010;223.416
0.95;-2.40633e+010;2.40633e+010;260.518
1;300;5.68434e-014;300
L1;2.10914e+010
L2;5.83084e+009
T= 0.3
0;300;0;300
0.05;-3.60606e+015;3.60606e+015;267.669
0.1;6.42837e+015;6.42837e+015;236.665
0.15;-7.9601e+015;7.9601e+015;208.162
0.2;8.11507e+015;8.11507e+015;183.061
0.25;-7.18625e+015;7.18625e+015;161.927
0.3;5.66981e+015;5.66981e+015;144.988
0.35;-4.06343e+015;4.06343e+015;132.201
0.4;2.73332e+015;2.73332e+015;123.355
0.45;-1.88253e+015;1.88253e+015;118.187
0.5;1.59271e+015;1.59271e+015;116.491
0.55;-1.88253e+015;1.88253e+015;118.187
0.6;2.73332e+015;2.73332e+015;123.355
0.65;-4.06343e+015;4.06343e+015;132.201
0.7;5.66981e+015;5.66981e+015;144.988
0.75;-7.18625e+015;7.18625e+015;161.927
0.8;8.11507e+015;8.11507e+015;183.061
0.85;-7.9601e+015;7.9601e+015;208.162
0.9;6.42837e+015;6.42837e+015;236.665
0.95;-3.60606e+015;3.60606e+015;267.669
1;300;0;300
L1;4.61346e+015
L2;1.15887e+015
T= 0.4
0;300;0;300
0.05;-6.3364e+020;6.3364e+020;272.052
0.1;1.16224e+021;1.16224e+021;245.007
0.15;-1.50966e+021;1.50966e+021;219.698
0.2;1.64693e+021;1.64693e+021;196.831
0.25;-1.59441e+021;1.59441e+021;176.952
0.3;1.40935e+021;1.40935e+021;160.434
0.35;-1.16584e+021;1.16584e+021;147.496
0.4;9.3551e+020;9.3551e+020;138.239
0.45;-7.74379e+020;7.74379e+020;132.688
0.5;7.1685e+020;7.1685e+020;130.84
0.55;-7.74379e+020;7.74379e+020;132.688
0.6;9.3551e+020;9.3551e+020;138.239
0.65;-1.16584e+021;1.16584e+021;147.496
0.7;1.40935e+021;1.40935e+021;160.434
0.75;-1.59441e+021;1.59441e+021;176.952
0.8;1.64693e+021;1.64693e+021;196.831
0.85;-1.50966e+021;1.50966e+021;219.698
0.9;1.16224e+021;1.16224e+021;245.007
0.95;-6.3364e+020;6.3364e+020;272.052
1;300;0;300
L1;1.06575e+021
L2;2.55223e+020
T= 0.5
0;300;0;300
0.05;-1.22099e+026;1.22099e+026;275.226
0.1;2.2808e+026;2.2808e+026;251.15
0.15;-3.0555e+026;3.0555e+026;228.434
0.2;3.48476e+026;3.48476e+026;207.671
0.25;-3.58026e+026;3.58026e+026;189.365
0.3;3.41589e+026;3.41589e+026;173.92
0.35;-3.1047e+026;3.1047e+026;161.639
0.4;2.77042e+026;2.77042e+026;152.735
0.45;-2.52117e+026;2.52117e+026;147.343
0.5;2.42959e+026;2.42959e+026;145.538
0.55;-2.52117e+026;2.52117e+026;147.343
0.6;2.77042e+026;2.77042e+026;152.735
0.65;-3.1047e+026;3.1047e+026;161.639
0.7;3.41589e+026;3.41589e+026;173.92
0.75;-3.58026e+026;3.58026e+026;189.365
0.8;3.48476e+026;3.48476e+026;207.671
0.85;-3.0555e+026;3.0555e+026;228.434
0.9;2.2808e+026;2.2808e+026;251.15
0.95;-1.22099e+026;1.22099e+026;275.226
1;300;0;300
L1;2.53803e+026
L2;5.99627e+025
